f,iid,cd,dn,cs,dt
"true","100897912","08680810","Державне підприємство "Підприємство Копичинської виправної колонії управління Державної пенітенціарної служби України в Тернопільській області (№112)"","зареєстровано","2017-02-14T10:10:11.2720000+03:00"
"true","409643868","08680649","Державне підприємство "Сільськогосподарське підприємство Державної кримінально-виконавчої служби України (№29)"","зареєстровано","2017-02-14T10:10:11.5700000+03:00"
"true","353674900","08680879","Державне підприємство"Підприємство Олексіївської виправної колонії управління Державної пенітенціарної служби України в Харківській області (№25)"","зареєстровано","2017-02-14T10:10:11.9570000+03:00"
"true","348360602","08680885","Державне Підприємство "Підприємство Харківської виправної колонії управління Державної пенітенціарної служби України в Харківській області (№43)"","зареєстровано","2017-02-14T10:10:12.3870000+03:00"
"false","0","00848807","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:12.6890000+03:00"
"true","347712481","08680862","Державне підприємство «Підприємство Холодногірської виправної колонії управління Державної пенітенціарної служби України в Харківській області (№18)»","зареєстровано","2017-02-14T10:10:12.9980000+03:00"
"true","350523484","08680891","Державне підприємство «Підприємство Качанівської виправної колонії управління Державної пенітенціарної служби України в Харківській області (№ 54)»","зареєстровано","2017-02-14T10:10:13.3080000+03:00"
"true","364147984","08680655","Державне підприємство "Підприємство Полтавської виправної колонії управління Державної пенітенціарної служби України в Полтавській області (№64)""","зареєстровано","2017-02-14T10:10:13.6050000+03:00"
"true","418146166","08680661","Державне підприємство "Підприємство Державної кримінально - виконавчої служби України (№ 69)","зареєстровано","2017-02-14T10:10:13.9170000+03:00"
"false","0","08680632","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:14.2210000+03:00"
"true","353215404","08680841","Державне підприємство "Підприємство Диканівської виправної колонії управління Державної пенітенціарної служби України в Харківській області (№12)"","зареєстровано","2017-02-14T10:10:14.7780000+03:00"
"false","0","08680922","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:15.1080000+03:00"
"true","32530303","08680744","Державне підприємство "Підприємство Городоцького виправного центру управління Державної пенітанціарної служби України в Рівненській області (131)"","зареєстровано","2017-02-14T10:10:15.4990000+03:00"
"true","48945583","08680721","Державне підприємство "Підприємство Городищенської виправної колонії управління Державної пенітенціарної служби України в Рівненській області (№96)"","зареєстровано","2017-02-14T10:10:16.0050000+03:00"
"false","0","08680939","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:16.3690000+03:00"
"true","47176312","08563688","Березанська виправна кол колонія управління Державної пенітенціарної служби України в м.Києві та Київській області (№95)","зареєстровано","2017-02-14T10:10:16.7540000+03:00"
"true","356353499","08680945","Державне підприємство " Сільськогосподарське підприємство Дергачівської виправної колонії управління Державної пенітенціарної служби України в Харківській області (№109)"","зареєстровано","2017-02-14T10:10:17.2980000+03:00"
"false","0","08680951","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:17.6550000+03:00"
"false","0","08680968","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:17.9960000+03:00"
"true","112040097","08680974","Державне підприємство " Підприємство Дар'ївської виправної колонії управління Державної пенітенціарної служби України в Херсонській області, Автономній Республіці Крим та м.Севастополі (№ 10)"","зареєстровано","2017-02-14T10:10:18.3070000+03:00"
"true","364232251","08680997","Державне підприємство "Підприємство північної виправної колонії (90) державної пенітенціарної служби в Херсонській області та АР КРИМ та м.Севастополі "","зареєстровано","2017-02-14T10:10:18.6680000+03:00"
"true","39028674","08680690","Державне підприємство "Підприємство Надержинщинської виправної колонії управління Державної пенітенціарної служби України в Полтавській області (№65)"","зареєстровано","2017-02-14T10:10:19.0060000+03:00"
"true","364308401","08680787","Державне підприємство "Підприємство Конотопського виправного центру (№130)","зареєстровано","2017-02-14T10:10:19.2890000+03:00"
"true","355078288","08680129","Державне підприємство "Підприємство Мелітопольської виховної колонії УДПтС України в Запорізькій області"","зареєстровано","2017-02-14T10:10:19.6600000+03:00"
"true","115831888","08681005","Державне підприємство "Підприємство Білозерської виправної колонії управління Державної пенітенціарної служби України в Херсонській області, АР Крим та м. Севастополі (№105)"","зареєстровано","2017-02-14T10:10:19.9910000+03:00"
"true","40060066","08680715","Державне підприємство "Підприємство Полицької виправної колонії управління Державної пенітенціарної служби України в Рівненській області (№76)"","зареєстровано","2017-02-14T10:10:20.3610000+03:00"
"true","364305915","08680796","Державне підприємство "Підприємство Сумської виправної колонії управілння Державної пенітенціарної служби України в Сумській області (№116)"","зареєстровано","2017-02-14T10:10:20.8150000+03:00"
"true","348404949","08680804","Державне підприємство "Підприємство Збаразької виправної колонії управління Державної пенітенціарної служби України в Тернопільській області (№63)"","зареєстровано","2017-02-14T10:10:21.1550000+03:00"
"true","364489647","08681011","Державне підприємство "Підприємство Ізяславської виправної колонії управління Державної пенітенціарної служби України у Хмельницькій області (№ 31)"","зареєстровано","2017-02-14T10:10:21.4980000+03:00"
"true","364388386","08681028","Державне підприємство"Підприємство Замкової виправної колонії управління державної пенітенціраної служби України у Хмельницькій області (№58)"","зареєстровано","2017-02-14T10:10:21.8040000+03:00"
"true","364187847","08681034","Державне підприємство "Підприємство Райківецької виправної колонії управління Державної пенітенціарної служби України у Хмельницькій області (№78)"","зареєстровано","2017-02-14T10:10:22.0960000+03:00"
"true","349651363","08680906","Державне підприємство "Підприємство Темнівської виправної колонії управління Державної пенітенціарної служби України (№100)"","зареєстровано","2017-02-14T10:10:22.3800000+03:00"
